# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: these time series are possibly inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of stations De Kooy, Eelde, De Bilt, Vlissingen, Beek or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# 
# STN,YYYYMMDD,   RH
# 
  260,19010101,     
  260,19010102,     
  260,19010103,     
  260,19010104,     
  260,19010105,     
  260,19010106,     
  260,19010107,     
  260,19010108,     
  260,19010109,     
  260,19010110,     
  260,19010111,     
  260,19010112,     
  260,19010113,     
  260,19010114,     
  260,19010115,     
  260,19010116,     
  260,19010117,     
  260,19010118,     
  260,19010119,     
  260,19010120,     
  260,19010121,     
  260,19010122,     
  260,19010123,     
  260,19010124,     
  260,19010125,     
  260,19010126,     
  260,19010127,     
  260,19010128,     
  260,19010129,     
  260,19010130,     
  260,19010131,     
  260,19010201,     
  260,19010202,     
  260,19010203,     
  260,19010204,     
  260,19010205,     
  260,19010206,     
  260,19010207,     
  260,19010208,     
  260,19010209,     
  260,19010210,     
  260,19010211,     
  260,19010212,     
  260,19010213,     
  260,19010214,     
  260,19010215,     
  260,19010216,     
  260,19010217,     
  260,19010218,     
  260,19010219,     
  260,19010220,     
  260,19010221,     
  260,19010222,     
  260,19010223,     
  260,19010224,     
  260,19010225,     
  260,19010226,     
  260,19010227,     
  260,19010228,     
  260,19010301,     
  260,19010302,     
  260,19010303,     
  260,19010304,     
  260,19010305,     
  260,19010306,     
  260,19010307,     
  260,19010308,     
  260,19010309,     
  260,19010310,     
  260,19010311,     
  260,19010312,     
  260,19010313,     
  260,19010314,     
  260,19010315,     
  260,19010316,     
  260,19010317,     
  260,19010318,     
  260,19010319,     
  260,19010320,     
  260,19010321,     
  260,19010322,     
  260,19010323,     
  260,19010324,     
  260,19010325,     
  260,19010326,     
  260,19010327,     
  260,19010328,     
  260,19010329,     
  260,19010330,     
  260,19010331,     
  260,19010401,     
  260,19010402,     
  260,19010403,     
  260,19010404,     
  260,19010405,     
  260,19010406,     
  260,19010407,     
  260,19010408,     
  260,19010409,     
  260,19010410,     
  260,19010411,     
  260,19010412,     
  260,19010413,     
  260,19010414,     
  260,19010415,     
  260,19010416,     
  260,19010417,     
  260,19010418,     
  260,19010419,     
  260,19010420,     
  260,19010421,     
  260,19010422,     
  260,19010423,     
  260,19010424,     
  260,19010425,     
  260,19010426,     
  260,19010427,     
  260,19010428,     
  260,19010429,     
  260,19010430,     
  260,19010501,     
  260,19010502,     
  260,19010503,     
  260,19010504,     
  260,19010505,     
  260,19010506,     
  260,19010507,     
  260,19010508,     
  260,19010509,     
  260,19010510,     
  260,19010511,     
  260,19010512,     
  260,19010513,     
  260,19010514,     
  260,19010515,     
  260,19010516,     
  260,19010517,     
  260,19010518,     
  260,19010519,     
  260,19010520,     
  260,19010521,     
  260,19010522,     
  260,19010523,     
  260,19010524,     
  260,19010525,     
  260,19010526,     
  260,19010527,     
  260,19010528,     
  260,19010529,     
  260,19010530,     
  260,19010531,     
  260,19010601,     
  260,19010602,     
  260,19010603,     
  260,19010604,     
  260,19010605,     
  260,19010606,     
  260,19010607,     
  260,19010608,     
  260,19010609,     
  260,19010610,     
  260,19010611,     
  260,19010612,     
  260,19010613,     
  260,19010614,     
  260,19010615,     
  260,19010616,     
  260,19010617,     
  260,19010618,     
  260,19010619,     
  260,19010620,     
  260,19010621,     
  260,19010622,     
  260,19010623,     
  260,19010624,     
  260,19010625,     
  260,19010626,     
  260,19010627,     
  260,19010628,     
  260,19010629,     
  260,19010630,     
  260,19010701,     
  260,19010702,     
  260,19010703,     
  260,19010704,     
  260,19010705,     
  260,19010706,     
  260,19010707,     
  260,19010708,     
  260,19010709,     
  260,19010710,     
  260,19010711,     
  260,19010712,     
  260,19010713,     
  260,19010714,     
  260,19010715,     
  260,19010716,     
  260,19010717,     
  260,19010718,     
  260,19010719,     
  260,19010720,     
  260,19010721,     
  260,19010722,     
  260,19010723,     
  260,19010724,     
  260,19010725,     
  260,19010726,     
  260,19010727,     
  260,19010728,     
  260,19010729,     
  260,19010730,     
  260,19010731,     
  260,19010801,     
  260,19010802,     
  260,19010803,     
  260,19010804,     
  260,19010805,     
  260,19010806,     
  260,19010807,     
  260,19010808,     
  260,19010809,     
  260,19010810,     
  260,19010811,     
  260,19010812,     
  260,19010813,     
  260,19010814,     
  260,19010815,     
  260,19010816,     
  260,19010817,     
  260,19010818,     
  260,19010819,     
  260,19010820,     
  260,19010821,     
  260,19010822,     
  260,19010823,     
  260,19010824,     
  260,19010825,     
  260,19010826,     
  260,19010827,     
  260,19010828,     
  260,19010829,     
  260,19010830,     
  260,19010831,     
  260,19010901,     
  260,19010902,     
  260,19010903,     
  260,19010904,     
  260,19010905,     
  260,19010906,     
  260,19010907,     
  260,19010908,     
  260,19010909,     
  260,19010910,     
  260,19010911,     
  260,19010912,     
  260,19010913,     
  260,19010914,     
  260,19010915,     
  260,19010916,     
  260,19010917,     
  260,19010918,     
  260,19010919,     
  260,19010920,     
  260,19010921,     
  260,19010922,     
  260,19010923,     
  260,19010924,     
  260,19010925,     
  260,19010926,     
  260,19010927,     
  260,19010928,     
  260,19010929,     
  260,19010930,     
  260,19011001,     
  260,19011002,     
  260,19011003,     
  260,19011004,     
  260,19011005,     
  260,19011006,     
  260,19011007,     
  260,19011008,     
  260,19011009,     
  260,19011010,     
  260,19011011,     
  260,19011012,     
  260,19011013,     
  260,19011014,     
  260,19011015,     
  260,19011016,     
  260,19011017,     
  260,19011018,     
  260,19011019,     
  260,19011020,     
  260,19011021,     
  260,19011022,     
  260,19011023,     
  260,19011024,     
  260,19011025,     
  260,19011026,     
  260,19011027,     
  260,19011028,     
  260,19011029,     
  260,19011030,     
  260,19011031,     
  260,19011101,     
  260,19011102,     
  260,19011103,     
  260,19011104,     
  260,19011105,     
  260,19011106,     
  260,19011107,     
  260,19011108,     
  260,19011109,     
  260,19011110,     
  260,19011111,     
  260,19011112,     
  260,19011113,     
  260,19011114,     
  260,19011115,     
  260,19011116,     
  260,19011117,     
  260,19011118,     
  260,19011119,     
  260,19011120,     
  260,19011121,     
  260,19011122,     
  260,19011123,     
  260,19011124,     
  260,19011125,     
  260,19011126,     
  260,19011127,     
  260,19011128,     
  260,19011129,     
  260,19011130,     
  260,19011201,     
  260,19011202,     
  260,19011203,     
  260,19011204,     
  260,19011205,     
  260,19011206,     
  260,19011207,     
  260,19011208,     
  260,19011209,     
  260,19011210,     
  260,19011211,     
  260,19011212,     
  260,19011213,     
  260,19011214,     
  260,19011215,     
  260,19011216,     
  260,19011217,     
  260,19011218,     
  260,19011219,     
  260,19011220,     
  260,19011221,     
  260,19011222,     
  260,19011223,     
  260,19011224,     
  260,19011225,     
  260,19011226,     
  260,19011227,     
  260,19011228,     
  260,19011229,     
  260,19011230,     
  260,19011231,     
  260,19020101,     
  260,19020102,     
  260,19020103,     
  260,19020104,     
  260,19020105,     
  260,19020106,     
  260,19020107,     
  260,19020108,     
  260,19020109,     
  260,19020110,     
  260,19020111,     
  260,19020112,     
  260,19020113,     
  260,19020114,     
  260,19020115,     
  260,19020116,     
  260,19020117,     
  260,19020118,     
  260,19020119,     
  260,19020120,     
  260,19020121,     
  260,19020122,     
  260,19020123,     
  260,19020124,     
  260,19020125,     
  260,19020126,     
  260,19020127,     
  260,19020128,     
  260,19020129,     
  260,19020130,     
  260,19020131,     
  260,19020201,     
  260,19020202,     
  260,19020203,     
  260,19020204,     
  260,19020205,     
  260,19020206,     
  260,19020207,     
  260,19020208,     
  260,19020209,     
  260,19020210,     
  260,19020211,     
  260,19020212,     
  260,19020213,     
  260,19020214,     
  260,19020215,     
  260,19020216,     
  260,19020217,     
  260,19020218,     
  260,19020219,     
  260,19020220,     
  260,19020221,     
  260,19020222,     
  260,19020223,     
  260,19020224,     
  260,19020225,     
  260,19020226,     
  260,19020227,     
  260,19020228,     
  260,19020301,     
  260,19020302,     
  260,19020303,     
  260,19020304,     
  260,19020305,     
  260,19020306,     
  260,19020307,     
  260,19020308,     
  260,19020309,     
  260,19020310,     
  260,19020311,     
  260,19020312,     
  260,19020313,     
  260,19020314,     
  260,19020315,     
  260,19020316,     
  260,19020317,     
  260,19020318,     
  260,19020319,     
  260,19020320,     
  260,19020321,     
  260,19020322,     
  260,19020323,     
  260,19020324,     
  260,19020325,     
  260,19020326,     
  260,19020327,     
  260,19020328,     
  260,19020329,     
  260,19020330,     
  260,19020331,     
  260,19020401,     
  260,19020402,     
  260,19020403,     
  260,19020404,     
  260,19020405,     
  260,19020406,     
  260,19020407,     
  260,19020408,     
  260,19020409,     
  260,19020410,     
  260,19020411,     
  260,19020412,     
  260,19020413,     
  260,19020414,     
  260,19020415,     
  260,19020416,     
  260,19020417,     
  260,19020418,     
  260,19020419,     
  260,19020420,     
  260,19020421,     
  260,19020422,     
  260,19020423,     
  260,19020424,     
  260,19020425,     
  260,19020426,     
  260,19020427,     
  260,19020428,     
  260,19020429,     
  260,19020430,     
  260,19020501,     
  260,19020502,     
  260,19020503,     
  260,19020504,     
  260,19020505,     
  260,19020506,     
  260,19020507,     
  260,19020508,     
  260,19020509,     
  260,19020510,     
  260,19020511,     
  260,19020512,     
  260,19020513,     
  260,19020514,     
  260,19020515,     
  260,19020516,     
  260,19020517,     
  260,19020518,     
  260,19020519,     
  260,19020520,     
  260,19020521,     
  260,19020522,     
  260,19020523,     
  260,19020524,     
  260,19020525,     
  260,19020526,     
  260,19020527,     
  260,19020528,     
  260,19020529,     
  260,19020530,     
  260,19020531,     
  260,19020601,     
  260,19020602,     
  260,19020603,     
  260,19020604,     
  260,19020605,     
  260,19020606,     
  260,19020607,     
  260,19020608,     
  260,19020609,     
  260,19020610,     
  260,19020611,     
  260,19020612,     
  260,19020613,     
  260,19020614,     
  260,19020615,     
  260,19020616,     
  260,19020617,     
  260,19020618,     
  260,19020619,     
  260,19020620,     
  260,19020621,     
  260,19020622,     
  260,19020623,     
  260,19020624,     
  260,19020625,     
  260,19020626,     
  260,19020627,     
  260,19020628,     
  260,19020629,     
  260,19020630,     
  260,19020701,     
  260,19020702,     
  260,19020703,     
  260,19020704,     
  260,19020705,     
  260,19020706,     
  260,19020707,     
  260,19020708,     
  260,19020709,     
  260,19020710,     
  260,19020711,     
  260,19020712,     
  260,19020713,     
  260,19020714,     
  260,19020715,     
  260,19020716,     
  260,19020717,     
  260,19020718,     
  260,19020719,     
  260,19020720,     
  260,19020721,     
  260,19020722,     
  260,19020723,     
  260,19020724,     
  260,19020725,     
  260,19020726,     
  260,19020727,     
  260,19020728,     
  260,19020729,     
  260,19020730,     
  260,19020731,     
  260,19020801,     
  260,19020802,     
  260,19020803,     
  260,19020804,     
  260,19020805,     
  260,19020806,     
  260,19020807,     
  260,19020808,     
  260,19020809,     
  260,19020810,     
  260,19020811,     
  260,19020812,     
  260,19020813,     
  260,19020814,     
  260,19020815,     
  260,19020816,     
  260,19020817,     
  260,19020818,     
  260,19020819,     
  260,19020820,     
  260,19020821,     
  260,19020822,     
  260,19020823,     
  260,19020824,     
  260,19020825,     
  260,19020826,     
  260,19020827,     
  260,19020828,     
  260,19020829,     
  260,19020830,     
  260,19020831,     
  260,19020901,     
  260,19020902,     
  260,19020903,     
  260,19020904,     
  260,19020905,     
  260,19020906,     
  260,19020907,     
  260,19020908,     
  260,19020909,     
